,,,SDR UP,---SURROUND DOLBY Rch,CVSDR UP<CR>,CVSDR 50,,,,,
,,,SDR DOWN,,CVSDR DOWN<CR>,CVSDR 50,,,,,
,,,SDR **,"**:38 to 62 by ASCII , 50=0dB",CVSDR 50<CR>,<-,,,,,
,,,ZRL,Reset all channel level to the factory defaults,CVZRL<CR>,"CVFL 50<CR>
:
:
CVEND<CR>",,,,,
,,,?,Return CV Status,"CV?<CR>

","※Only the speaker which there is on the speaker configration replies
(e.g.）
CVFL 62<CR>
:
:
CVEND<CR>　",,,,,
,,MU,ON,OUTPUT MUTE ON/OFF change,MUON<CR>,<-,,,,,
,,,OFF,,MUOFF<CR>,<-,,,,,
,,,?,Return MU Status,MU?<CR>,,,,,,
,,,TUNER,,SITUNER<CR>,<-,,,,,
,,,DVD,"* X1300,S720:DVD/Blu-ray is selected",SIDVD<CR>,<-,,,,,
,,,BD,---Blu-ray,SIBD<CR>,<-,,,,,
,,,TV,---TV AUDIO,SITV<CR>,<-,,,,,
,,,SAT/CBL,---CBL/SAT,SISAT/CBL<CR>,<-,,,,,
,,,MPLAY,---MEDIA PLAYER,SIMPLAY<CR>,<-,,,,,
,,,GAME,,SIGAME<CR>,<-,,,,,
,,,NET,* 2016 AVR: Online Music is selected,SINET<CR>,<-,,,,,
,,,PANDORA,(North America model Only),SIPANDORA<CR>,<-,,,,,
,,,SIRIUSXM,(North America model Only),SISIRIUSXM<CR>,<-,,,,,
,,,IRADIO,,SIIRADIO<CR>,<-,,,,,
,,,SERVER,,SISERVER<CR>,<-,,,,,
,,,FAVORITES,,SIFAVORITES<CR>,<-,,,,,
,,,AUX1,"* X1300,S720:AUX , Other:AUX1 is selected",SIAUX1<CR>,<-,,,,,
,,,BT,---Bluetooth,SIBT<CR>,<-,,,,,
,,,USB/IPOD,,SIUSB/IPOD<CR>,<-,,,,,
,,,USB,Select INPUT source iPod/USB and Start Playback,SIUSB<CR>,<-,,,,,
,,,IPD,Select INPUT source iPod/USB and iPod DIRECT Start Playback,SIIPD<CR>,<-,,,,,
,,,IRP,Select INPUT source Online Music and iRadio Recent Play,SIIRP<CR>,<-,,,,,
,,,FVP,Select INPUT source Online Music and Favorites Play,SIFVP<CR>,<-,,,,,
,,,?,Return SI Status,SI?<CR>,,,,,,
,,ZM,ON,MAIN-ZONE ON/OFF change,ZMON<CR>,<-,,,,,
,,,OFF,,ZMOFF<CR>,<-,,,,,
,,,?,Return ZM Status,ZM?<CR>,,,,,,
,,SD,AUTO,set AUTO mode,SDAUTO<CR>,<-,,,,,
,,,, (Priority:HDMI>>DIGITAL>>ANALOG),,,,,,,
,,,HDMI,set force HDMI INPUT mode,SDHDMI<CR>,<-,,,,,
,,,DIGITAL,set force DIGITAL INPUT mode,SDDIGITAL<CR>,<-,,,,,
,,,," (Optical,Coaxial)",,,,,,,
,,,ANALOG,set force ANALOG INPUT mode,SDANALOG<CR>,<-,,,,,
,,,?,Return SD Status,SD?<CR>,,,,,,
,,,,,,SDARC<CR>,,,,,
,,,,,,SDNO<CR>,,,,,
,,SV,DVD,"VIDEO SELECT mode set to ON, and select source
* X1300,S720:DVD/Blu-ray is selected",SVDVD<CR>,<-,,,,,
,,,BD,,SVBD<CR>,<-,,,,,
,,,TV,,SVTV<CR>,<-,,,,,
,,,SAT/CBL,,SVSAT/CBL<CR>,<-,,,,,
,,,MPLAY,,SVMPLAY<CR>,<-,,,,,
,,,GAME,,SVGAME<CR>,<-,,,,,
,,,AUX1,,SVAUX1<CR>,<-,,,,,
,,,ON,VIDEO SELECT ON,SVON<CR>,<-,,,,,
,,,OFF,VIDEO SELECT OFF,SVOFF<CR>,<-,,,,,
,,,?,Return SV Status,SV?<CR>,"SVDVD<CR>
SVON<CR>",,,,,
,,SLP,OFF,MAIN ZONE SLEEP　TIMER setting,SLPOFF<CR>,<-,,,,,
,,,***,"***:001 to 120 by ASCII , 010=10min",SLP120<CR>,SLP120<CR>,,,,,
,,,?,Return SLP Status,SLP?<CR>,,,,,,
,,STBY,15M,MAIN ZONE Auto Standby setting,STBY15M<CR>,<-,,,,,
,,,30M,,STBY30M<CR>,<-,,,,,
,,,60M,,STBY60M<CR>,<-,,,,,
,,,OFF,,STBYOFF<CR>,<-,,,,,
,,,?,Return STBY Status,STBY?<CR>,,,,,,
,,ECO,ON,MAIN ZONE ECO mode setting,ECOON<CR>,<-,,,,,
,,,AUTO,,ECOAUTO<CR>,<-,,,,,
,,,OFF,,ECOOFF<CR>,<-,,,,,
,,,?,Return ECO Status,ECO?<CR>,,,,,,
,,MS,MOVIE,,MSMOVIE<CR>,,,,,,
,,,MUSIC,,MSMUSIC<CR>,,,,,,
,,,GAME,,MSGAME<CR>,,,,,,
,,,DIRECT,Select SURROUND mode,MSDIRECT<CR>,,,,,,
,,,,,,MSDIRECT<CR>,,,,,
,,,,,,MSDSD DIRECT<CR>,,,,,
,,,STEREO,,MSSTEREO<CR>,MSSTEREO<CR>,,,,,
,,,AUTO,,MSAUTO<CR>,<-,,,,,
,,,DOLBY DIGITAL,,MSDOLBY DIGITAL<CR>,,,,,,
,,,,,,MSDOLBY SURROUND<CR>,,,,,
,,,,,,MSDOLBY ATMOS<CR>,,,,,
,,,,,,MSDOLBY DIGITAL<CR>,,,,,
,,,,,,MSDOLBY D+DS<CR>,,,,,
,,,,,,MSDTS SURROUND<CR>,,,,,
,,,,,,MSDTS ES DSCRT6.1<CR>,,,,,
,,,,,,MSDTS ES MTRX6.1<CR>,,,,,
,,,,,,MSDTS96/24<CR>,,,,,
,,,,,,MSDTS96 ES MTRX<CR>,,,,,
,,,,,,MSDTS+NEURAL:X,,,,,
,,,,,,MSDTS ES MTRX+NEURAL:X<CR>,,,,,
,,,,,,MSDTS ES DSCRT+NEURAL:X<CR>,,,,,
,,,,,,MSMULTI CH IN<CR>,,,,,
,,,,,,MSM CH IN+DS<CR>,,,,,
,,,,,,MSMULTI CH IN 7.1<CR>,,,,,
,,,,,,MSM CH IN+NEURAL:X<CR>,,,,,
,,,,,,MSDOLBY D+<CR>,,,,,
,,,,,,MSDOLBY D+ +DS<CR>,,,,,
,,,,,,MSDOLBY HD<CR>,,,,,
,,,,,,MSDOLBY HD+DS<CR>,,,,,
,,,,,,MSDTS HD<CR>,,,,,
,,,,,,MSDTS HD MSTR<CR>,,,,,
,,,,,,MSDTS HD+NEURAL:X<CR>,,,,,
,,,,,,MSDTS:X<CR>,,,,,
,,,,,,MSDTS:X MSTR<CR>,,,,,
,,,,,,MSDTS EXPRESS<CR>,,,,,
,,,,,,MSDTS ES 8CH DSCRT<CR>,,,,,
,,,DTS SURROUND,,MSDTS SURROUND<CR>,,,,,,
,,,,,,MSNEURAL:X<CR>,,,,,
,,,,,,MSDTS SURROUND<CR>,,,,,
,,,,,,MSDTS ES DSCRT6.1<CR>,,,,,
,,,,,,MSDTS ES MTRX6.1<CR>,,,,,
,,,,,,MSDTS96/24<CR>,,,,,
,,,,,,MSDTS96 ES MTRX<CR>,,,,,
,,,,,,MSDTS+NEURAL:X,,,,,
,,,,,,MSDTS ES MTRX+NEURAL:X<CR>,,,,,
,,,,,,MSDTS ES DSCRT+NEURAL:X<CR>,,,,,
,,,,,,MSDOLBY ATMOS<CR>,,,,,
,,,,,,MSDOLBY DIGITAL<CR>,,,,,
,,,,,,MSDOLBY D+DS<CR>,,,,,
,,,,,,MSMULTI CH IN<CR>,,,,,
,,,,,,MSM CH IN+DS<CR>,,,,,
,,,,,,MSMULTI CH IN 7.1<CR>,,,,,
,,,,,,MSM CH IN+NEURAL:X<CR>,,,,,
,,,,,,MSDOLBY D+<CR>,,,,,
,,,,,,MSDOLBY D+ +DS<CR>,,,,,
,,,,,,MSDOLBY HD<CR>,,,,,
,,,,,,MSDOLBY HD+DS<CR>,,,,,
,,,,,,MSDTS HD<CR>,,,,,
,,,,,,MSDTS HD MSTR<CR>,,,,,
,,,,,,MSDTS HD+NEURAL:X<CR>,,,,,
,,,,,,MSDTS:X<CR>,,,,,
